date,platform,artist,track,country,streams
1999-06-15,Spotify,Eminem,My Name Is,US,12000
1999-08-01,Apple Music,Dr. Dre,Still D.R.E.,US,18000
2000-03-10,YouTube,Beyoncé,Crazy in Love,US,8000
2002-11-20,Spotify,Eminem,Lose Yourself,US,95000
2005-04-05,Apple Music,Snoop Dogg,Gin and Juice,US,22000
2008-09-12,Spotify,Rihanna,Umbrella,UK,45000
2010-07-01,YouTube,Beyoncé,Single Ladies,US,62000
2012-05-18,Spotify,The Weeknd,Wicked Games,CA,38000
2013-01-10,Spotify,Beyoncé,Crazy in Love,US,42000
2013-01-15,Apple Music,Beyoncé,Halo,US,38000
2013-01-20,YouTube,Beyoncé,Love on Top,US,35000
2013-01-25,Spotify,Beyoncé,Run the World,US,41000
2013-02-01,Apple Music,Beyoncé,Crazy in Love,US,48000
2013-02-10,Spotify,Beyoncé,Halo,US,125000
2013-02-15,Apple Music,Beyoncé,Love on Top,US,118000
2013-02-20,YouTube,Beyoncé,Crazy in Love,US,132000
2013-02-28,Spotify,Beyoncé,Run the World,US,98000
2013-03-02,Apple Music,Beyoncé,Halo,US,105000
2015-06-01,Spotify,Rihanna,We Found Love,US,88000
2016-03-15,Apple Music,The Weeknd,Blinding Lights,CA,72000
2017-08-20,YouTube,Dr. Dre,The Next Episode,US,55000
2019-11-01,Spotify,Bad Bunny,Moscow Mule,US,44000
2020-01-05,Spotify,Shakira,Waka Waka,US,52000
2020-01-10,Apple Music,Jennifer Lopez,On The Floor,US,48000
2020-01-15,YouTube,Shakira,Hips Don't Lie,US,61000
2020-01-20,Spotify,Jennifer Lopez,Jenny From The Block,US,45000
2020-01-25,Apple Music,Shakira,Waka Waka,US,58000
2020-01-28,Spotify,Shakira,Whenever Wherever,US,49000
2020-02-05,Apple Music,Shakira,Waka Waka,US,142000
2020-02-10,Spotify,Jennifer Lopez,On The Floor,US,138000
2020-02-15,YouTube,Shakira,Hips Don't Lie,US,155000
2020-02-20,Spotify,Shakira,Waka Waka,US,128000
2020-02-25,Apple Music,Jennifer Lopez,On The Floor,US,122000
2020-03-01,YouTube,Jennifer Lopez,On The Floor,US,118000
